prgrm_type,prgrm_name,total_credits,major_credits,UL_total_credits,UL_major_credits,total_GPA,major_GPA,stream1,stream2,stream3,stream4,stream5,2023,2024,2025,2026
Major,Game Development,122,See Streams,42,24,2.00,2.00,Art (66),Design (63),Music+sound (63),Software dev (63),Addt'l Internship (1sh),https://www.twu.ca/sites/default/files/2023-05/2023-24-game-development-major-music-sound-design-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-development-major-software-development-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-art-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-design-stream-merged.pdf,,,
Major,"Arts, Media, Culture double Concentration",122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-arts-media-culture-double-concentration.pdf,,,
Major,"Arts, Media, Culture",122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-arts-media-culture-major.pdf,,,
Major,Bachelor of Business Administration,122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-business-admin-merged.pdf,,,
Major,Bachelor of Business Administration (Honours),134,72,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-business-admin-honours-merged.pdf,,,
Major,Business Administration (BA),122,48,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-arts-business-admin-merged.pdf,,,
Major,Bachelor of Sports management,122,69,42,24,2.00,2.00,,,,,,,,,
Major,Bachelor of Human Kinetics,122,See Streams,42,24,2.00,2.00,General (60-67),Coaching (69),Kinesiology (81),Sports management (78-84),,https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-generalist-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-bhk-kinesiology-merged.pdf,,,
Major,Human Kinetics (BA),122,45-54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-ba-merged.pdf,,,
Major,Nursing,129,83,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-nursing-major-merged.pdf,,,
Major,Leadership,122,42,42,24,2.00,2.00,,,,,,,,,
Minor,English Minor,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-English-Concentration-and-Minor-merged.pdf,,,
Minor,Biblical Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Biblical-Studies-Concentration-and-Minor-merged.pdf,,,
Minor,Theology,24,,9,,2.00,,,,,,,,,,
Minor,Intercultural Religious Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Intercultural-Religious-Studies-Minor-merged.pdf,,,
Minor,Catholic Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Catholic-Studies-Minor.pdf,,,
Minor,Geography,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Geography-Concentration-and-Minor-merged.pdf,,,
Minor,Environmental Studies (BA),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Environmental-Studies-Minor-BA_BSc-merged.pdf,,,
Minor,Environmental Studies (BSC),26,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Environmental-Studies-Minor-BA_BSc-merged.pdf,,,
Minor,History,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-History-Concentration-and-Minor-merged.pdf,,,
Minor,Political Studies,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Concentration-and-Minor-merged.pdf,,,
Minor,International Development Studies,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-International-Development-Studies-Concentration-and-Minor-merged_0.pdf,,,
Minor,Applied Linguistics,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Applied-Linguistics-Concentration-and-Minor-merged.pdf,,,
Minor,Philosophy,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Philosophy-Concentration-and-Minor-merged.pdf,,,
Minor,Psychology,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Psychology-Concentration-and-Minor-merged.pdf,,,
Minor,Sociology,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Concentration-and-Minor-merged.pdf,,,
Minor,French Lang. +Lit.,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-French-Language-Lit-Concentration-and-Minor-merged.pdf,,,
Minor,French Studies,24,,12,,2.00,,,,,,,,,,
Minor,Spanish,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Spanish-Concentration-and-Minor-merged.pdf,,,
Minor,Social Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Social-Studies-Concentration.pdf,,,
Minor,Biology,26,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Biology-Concentration-and-Minor-merged.pdf,,,
Minor,Chemistry,26,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Chemistry-Concentration-and-Minor-merged.pdf,,,
Minor,Computing Science,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-08/2023-24-Computing-Science-Concentration-and-Minor-merged.pdf,,,
Minor,Mathematics,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Mathematics-Concentration-and-Minor-merged.pdf,,,
Minor,Art + Design (Design stream),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Art-and-Design-Concentration-and-Minor-merged.pdf,,,
Minor,Art + Design (Historical stream),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Art-and-Design-Concentration-and-Minor-merged.pdf,,,
Minor,Art + Design (Studio stream),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Art-and-Design-Concentration-and-Minor-merged.pdf,,,
Minor,Game Development,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Game-Development-Concentration-and-Minor-merged.pdf,,,
Minor,Media & Communication,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Media-and-Communication-Concentration-and-Minor-merged.pdf,,,
Minor,Media & Communication: Film Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Media-and-Communication-Film-Studies-Concentration-and-Minor-merged.pdf,,,
Minor,Media & Communication: Pro. Writing,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Media-and-Communication-Professional-Writing-Minor-merged.pdf,,,
Minor,Music,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Music-Concentration-and-Minor-merged.pdf,,,
Minor,Music Education,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Music-Education-Concentration-Minor-merged.pdf,,,
Minor,Human Kinetics,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Human-Kinetics-Concentration-and-Minor-merged.pdf,,,
Minor,Physical Education,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Physical-Education-Minor-merged.pdf,,,
Minor,Education,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Education-Concentration-and-Minor-merged.pdf,,,
Minor,Inclusive Ed. (Educ students),25,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Inclusive-Education-Minor-merged.pdf,,,
Minor,Inclusive Ed. (non-Educ students),28,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Inclusive-Education-Minor-merged.pdf,,,
Minor,Business Administration,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Business-Administration-Concentration-and-Minor-merged.pdf,,,
Minor,Economics,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Economics-Concentration-and-Minor-merged.pdf,,,
Minor,Accounting (BBA or BA Business students),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Accounting-Minor.pdf,,,
Minor,Accounting (non - BBA or BA Business students),24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Accounting-Minor.pdf,,,
Minor,Gender Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2024-05/2023-24-Gender-Studies-Minor-merged.pdf,,,
Concentration,English Concentration,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-English-Concentration-and-Minor-merged.pdf,,,
Concentration,Biblical Studies,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Biblical-Studies-Concentration-and-Minor-merged.pdf,,,
Concentration,Theology,30,,12,,2.00,,,,,,,,,,
Concentration,Geography,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Geography-Concentration-and-Minor-merged.pdf,,,
Concentration,History,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-History-Concentration-and-Minor-merged.pdf,,,
Concentration,Political Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Concentration-and-Minor-merged.pdf,,,
Concentration,International Development Studies,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-International-Development-Studies-Concentration-and-Minor-merged_0.pdf,,,
Concentration,Applied Linguistics,24,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Applied-Linguistics-Concentration-and-Minor-merged.pdf,,,
Concentration,Philosophy,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Philosophy-Concentration-and-Minor-merged.pdf,,,
Concentration,Psychology,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Psychology-Concentration-and-Minor-merged.pdf,,,
Concentration,Sociology,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Concentration-and-Minor-merged.pdf,,,
Concentration,French Lang. +Lit.,30,,18,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-French-Language-Lit-Concentration-and-Minor-merged.pdf,,,
Concentration,French Studies,30,,18,,2.00,,,,,,,,,,
Concentration,Spanish,30,,18,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Spanish-Concentration-and-Minor-merged.pdf,,,
Concentration,Biology,32,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Biology-Concentration-and-Minor-merged.pdf,,,
Concentration,Chemistry,32,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Chemistry-Concentration-and-Minor-merged.pdf,,,
Concentration,Computing Science,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-08/2023-24-Computing-Science-Concentration-and-Minor-merged.pdf,,,
Concentration,Mathematics,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Mathematics-Concentration-and-Minor-merged.pdf,,,
Concentration,Art + Design,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Art-and-Design-Concentration-and-Minor-merged.pdf,,,
Concentration,Game Development,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Game-Development-Concentration-and-Minor-merged.pdf,,,
Concentration,Media & Communication,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Media-and-Communication-Concentration-and-Minor-merged.pdf,,,
Concentration,Media & Communication: Film Studies,30,,15,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Media-and-Communication-Film-Studies-Concentration-and-Minor-merged.pdf,,,
Concentration,Music,24,,9,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Music-Concentration-and-Minor-merged.pdf,,,
Concentration,Music Education,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Music-Education-Concentration-Minor-merged.pdf,,,
Concentration,Human Kinetics,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Human-Kinetics-Concentration-and-Minor-merged.pdf,,,
Concentration,Education,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-Education-Concentration-and-Minor-merged.pdf,,,
Concentration,Business Administration,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Business-Administration-Concentration-and-Minor-merged.pdf,,,
Concentration,Economics,30,,12,,2.00,,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Economics-Concentration-and-Minor-merged.pdf,,,
Major,Concurrent 5-year Education (K-7),See Checklist,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-concurrent-ba-bsc-bed-k-7-merged.pdf,,,
Major,Concurrent 5-year Education (Secondary),See Checklist,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-education-concurrent-ba-bsc-bed-secondary-merged.pdf,,,
Major,5-year B.Ed program,See Checklist,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-5-yr-bed-merged.pdf,,,
Major,2-year post degree Education program,See Checklist,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-post-degree.pdf,,,
Major,Environmental Studies (BA),122,79,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-environmental-studies-ba-merged.pdf,,,
Major,Geography,122,45,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-geography-major-merged.pdf,,,
Major,History Honours,134,48,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-history-honours-merged.pdf,,,
Major,International Studies Honours,134,69,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-honours-international-affairs-global-policy-merged_0.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-honours-international-development-cultural-change-merged.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-International%20Studies%20Honours%20International%20Political%20Economy-merged.pdf,,,
Major,Political Studies Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Honours-merged.pdf,,,
Major,History,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-history-major-merged.pdf,,,
Major,International Studies,122,72,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-major-international-affairs-global-policy-merged_0.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-major-international-development-cultural-change-merged.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-International-Studies-Major-International-Political-Economy-merged.pdf,,,
Major,Political Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Major-merged.pdf,,,
Major,Political Studies with Human Services,122,72,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Major-with-Human-Services-Certficate-merged.pdf,,,
Major,Applied Linguistics,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-applied-linguistics-major-merged.pdf,,,
Major,Philosophy Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-philosophy-honours-merged.pdf,,,
Major,Philosophy,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-philosophy-major-merged.pdf,,,
Major,Psychology Honours,134,60,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-honours-merged.pdf,,,
Major,Psychology Honours with Human Services,134,90,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-honours-with-human-services-certificate-merged.pdf,,,
Major,Psychology,122,45,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-major-merged.pdf,,,
Major,Psychology with Human Services,122,75,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-major-with-human-services-certificate-merged.pdf,,,
Major,Sociology,122,54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Major-merged.pdf,,,
Major,Sociology with Human Services,122,66,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Major-with-Human-Services-Certificate-merged.pdf,,,
Major,Biblical Studies Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Biblical-Studies-Honours-merged.pdf,,,
Major,Biblical Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-biblical-studies-major-merged.pdf,,,
Major,Theology,122,42,42,24,2.00,2.00,,,,,,,,,
Major,Intercultural Religious Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-intercultural-religious-studies-major-merged.pdf,,,
Major,General Studies (BA),122,48-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-General-Studies-BA_1.pdf,,,
Major,Humanities,122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-humanities-major_0.pdf,,,
Major,Social Sciences,122,48-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Social-Science-Major-merged.pdf,,,
Major,Social Sciences with Human Services,122,54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-social-science-major-with-human-services-certificate-merged.pdf,,,
Major,Biology Honours,134,See Streams,54,36,3.00,3.00,General (56),Cell&Dev (56),Ecology (56),Biochem (50),,https://www.twu.ca/sites/default/files/2023-06/2023-24-biology-honours-cell-developmental-biology-emphasis-merged.pdf ; https://www.twu.ca/sites/default/files/2023-06/2023-24-biology-honours-biochemistry-merged.pdf ; https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-honours-ecology-merged.pdf ; https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-major-general-program-merged.pdf,,,
Major,Biology,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-major-merged.pdf,,,
Major,Chemistry Honours,134,56,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-chemistry-honours-merged.pdf,,,
Major,Chemistry,122,See Streams,42,24,2.00,2.00,General (44),Grad prep (47),Life science (44),,,https://www.twu.ca/sites/default/files/2023-05/2023-24-chemistry-major-general-program-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-chemistry-major-graduate-school-prep-checklist-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-chemistry-major-life-sciences-emphasis-checklist-merged.pdf,,,
Major,Environmental Studies Honours (BSC),134,91,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-environmental-studies-bsc-honours-merged.pdf,,,
Major,Environmental Studies (BSC),122,79,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-environmental-studies-bsc-natural-systems-merged.pdf,,,
Major,Computing Science,122,See Streams,42,24,2.00,2.00,General (42),Data Science (45),Addt'l Internship (1sh),,,https://www.twu.ca/sites/default/files/2023-08/2023-24-computing-science-major-merged.pdf,,,
Major,Mathematics,122,See Streams,42,24,2.00,2.00,General (42),Data Science (45-46),Addt'l Internship (1sh),,,https://www.twu.ca/sites/default/files/2023-05/2023-24-mathematics-major-merged.pdf,,,
Major,General Studies (BSC),122,48-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-general-studies-bsc_0.pdf,,,
Major,Natural Sciences,122,54-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-natural-applied-sciences-major_0.pdf,,,
Major,Art + Design Honours,134,67-80,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-art-design-honours-merged.pdf,,,
